sample	env	subject	bodysite	dataset
Saliva__160097436	Saliva	160097436	Saliva	HMP
Stool__160097436	Stool	160097436	Stool	HMP
Subgingival.plaque__160097436	Subgingival plaque	160097436	Subgingival plaque	HMP
Supragingival.plaque__160097436	Supragingival plaque	160097436	Supragingival plaque	HMP
Tongue.dorsum__160097436	Tongue dorsum	160097436	Tongue dorsum	HMP
Buccal.mucosa__160137896	Buccal mucosa	160137896	Buccal mucosa	HMP
Hard.palate__160137896	Hard palate	160137896	Hard palate	HMP
Saliva__160137896	Saliva	160137896	Saliva	HMP
Stool__160137896	Stool	160137896	Stool	HMP
Subgingival.plaque__160137896	Subgingival plaque	160137896	Subgingival plaque	HMP
Supragingival.plaque__160137896	Supragingival plaque	160137896	Supragingival plaque	HMP
Tongue.dorsum__160137896	Tongue dorsum	160137896	Tongue dorsum	HMP
Buccal.mucosa__160158126	Buccal mucosa	160158126	Buccal mucosa	HMP
Hard.palate__160158126	Hard palate	160158126	Hard palate	HMP
Saliva__160158126	Saliva	160158126	Saliva	HMP
Stool__160158126	Stool	160158126	Stool	HMP
Subgingival.plaque__160158126	Subgingival plaque	160158126	Subgingival plaque	HMP
Supragingival.plaque__160158126	Supragingival plaque	160158126	Supragingival plaque	HMP
Tongue.dorsum__160158126	Tongue dorsum	160158126	Tongue dorsum	HMP
Buccal.mucosa__160178356	Buccal mucosa	160178356	Buccal mucosa	HMP
Hard.palate__160178356	Hard palate	160178356	Hard palate	HMP
Saliva__160178356	Saliva	160178356	Saliva	HMP
Stool__160178356	Stool	160178356	Stool	HMP
Subgingival.plaque__160178356	Subgingival plaque	160178356	Subgingival plaque	HMP
Supragingival.plaque__160178356	Supragingival plaque	160178356	Supragingival plaque	HMP
Tongue.dorsum__160178356	Tongue dorsum	160178356	Tongue dorsum	HMP
Buccal.mucosa__160218816	Buccal mucosa	160218816	Buccal mucosa	HMP
Hard.palate__160218816	Hard palate	160218816	Hard palate	HMP
Saliva__160218816	Saliva	160218816	Saliva	HMP
Stool__160218816	Stool	160218816	Stool	HMP
Subgingival.plaque__160218816	Subgingival plaque	160218816	Subgingival plaque	HMP
Supragingival.plaque__160218816	Supragingival plaque	160218816	Supragingival plaque	HMP
Tongue.dorsum__160218816	Tongue dorsum	160218816	Tongue dorsum	HMP
Buccal.mucosa__160239046	Buccal mucosa	160239046	Buccal mucosa	HMP
Hard.palate__160239046	Hard palate	160239046	Hard palate	HMP
Saliva__160239046	Saliva	160239046	Saliva	HMP
Stool__160239046	Stool	160239046	Stool	HMP
Subgingival.plaque__160239046	Subgingival plaque	160239046	Subgingival plaque	HMP
Supragingival.plaque__160239046	Supragingival plaque	160239046	Supragingival plaque	HMP
Tongue.dorsum__160239046	Tongue dorsum	160239046	Tongue dorsum	HMP
Buccal.mucosa__160259276	Buccal mucosa	160259276	Buccal mucosa	HMP
Hard.palate__160259276	Hard palate	160259276	Hard palate	HMP
Saliva__160259276	Saliva	160259276	Saliva	HMP
Stool__160259276	Stool	160259276	Stool	HMP
Subgingival.plaque__160259276	Subgingival plaque	160259276	Subgingival plaque	HMP
Supragingival.plaque__160259276	Supragingival plaque	160259276	Supragingival plaque	HMP
Tongue.dorsum__160259276	Tongue dorsum	160259276	Tongue dorsum	HMP
Buccal.mucosa__160319967	Buccal mucosa	160319967	Buccal mucosa	HMP
Hard.palate__160319967	Hard palate	160319967	Hard palate	HMP
Saliva__160319967	Saliva	160319967	Saliva	HMP
Stool__160319967	Stool	160319967	Stool	HMP
Subgingival.plaque__160319967	Subgingival plaque	160319967	Subgingival plaque	HMP
Supragingival.plaque__160319967	Supragingival plaque	160319967	Supragingival plaque	HMP
Tongue.dorsum__160319967	Tongue dorsum	160319967	Tongue dorsum	HMP
Buccal.mucosa__160340197	Buccal mucosa	160340197	Buccal mucosa	HMP
Hard.palate__160340197	Hard palate	160340197	Hard palate	HMP
Saliva__160340197	Saliva	160340197	Saliva	HMP
Subgingival.plaque__160340197	Subgingival plaque	160340197	Subgingival plaque	HMP
Supragingival.plaque__160340197	Supragingival plaque	160340197	Supragingival plaque	HMP
Tongue.dorsum__160340197	Tongue dorsum	160340197	Tongue dorsum	HMP
Buccal.mucosa__160380657	Buccal mucosa	160380657	Buccal mucosa	HMP
Hard.palate__160380657	Hard palate	160380657	Hard palate	HMP
Saliva__160380657	Saliva	160380657	Saliva	HMP
Stool__160380657	Stool	160380657	Stool	HMP
Subgingival.plaque__160380657	Subgingival plaque	160380657	Subgingival plaque	HMP
Supragingival.plaque__160380657	Supragingival plaque	160380657	Supragingival plaque	HMP
Tongue.dorsum__160380657	Tongue dorsum	160380657	Tongue dorsum	HMP
Buccal.mucosa__160400887	Buccal mucosa	160400887	Buccal mucosa	HMP
Hard.palate__160400887	Hard palate	160400887	Hard palate	HMP
Saliva__160400887	Saliva	160400887	Saliva	HMP
Stool__160400887	Stool	160400887	Stool	HMP
Subgingival.plaque__160400887	Subgingival plaque	160400887	Subgingival plaque	HMP
Supragingival.plaque__160400887	Supragingival plaque	160400887	Supragingival plaque	HMP
Tongue.dorsum__160400887	Tongue dorsum	160400887	Tongue dorsum	HMP
Buccal.mucosa__160421117	Buccal mucosa	160421117	Buccal mucosa	HMP
Hard.palate__160421117	Hard palate	160421117	Hard palate	HMP
Saliva__160421117	Saliva	160421117	Saliva	HMP
Stool__160421117	Stool	160421117	Stool	HMP
Subgingival.plaque__160421117	Subgingival plaque	160421117	Subgingival plaque	HMP
Supragingival.plaque__160421117	Supragingival plaque	160421117	Supragingival plaque	HMP
Tongue.dorsum__160421117	Tongue dorsum	160421117	Tongue dorsum	HMP
Buccal.mucosa__160441347	Buccal mucosa	160441347	Buccal mucosa	HMP
Hard.palate__160441347	Hard palate	160441347	Hard palate	HMP
Saliva__160441347	Saliva	160441347	Saliva	HMP
Stool__160441347	Stool	160441347	Stool	HMP
Subgingival.plaque__160441347	Subgingival plaque	160441347	Subgingival plaque	HMP
Supragingival.plaque__160441347	Supragingival plaque	160441347	Supragingival plaque	HMP
Tongue.dorsum__160441347	Tongue dorsum	160441347	Tongue dorsum	HMP
Buccal.mucosa__160461578	Buccal mucosa	160461578	Buccal mucosa	HMP
Hard.palate__160461578	Hard palate	160461578	Hard palate	HMP
Saliva__160461578	Saliva	160461578	Saliva	HMP
Stool__160461578	Stool	160461578	Stool	HMP
Subgingival.plaque__160461578	Subgingival plaque	160461578	Subgingival plaque	HMP
Supragingival.plaque__160461578	Supragingival plaque	160461578	Supragingival plaque	HMP
Tongue.dorsum__160461578	Tongue dorsum	160461578	Tongue dorsum	HMP
Buccal.mucosa__160481808	Buccal mucosa	160481808	Buccal mucosa	HMP
Hard.palate__160481808	Hard palate	160481808	Hard palate	HMP
Saliva__160481808	Saliva	160481808	Saliva	HMP
Stool__160481808	Stool	160481808	Stool	HMP
Subgingival.plaque__160481808	Subgingival plaque	160481808	Subgingival plaque	HMP
Supragingival.plaque__160481808	Supragingival plaque	160481808	Supragingival plaque	HMP
Tongue.dorsum__160481808	Tongue dorsum	160481808	Tongue dorsum	HMP
Buccal.mucosa__160502038	Buccal mucosa	160502038	Buccal mucosa	HMP
Hard.palate__160502038	Hard palate	160502038	Hard palate	HMP
Saliva__160502038	Saliva	160502038	Saliva	HMP
Stool__160502038	Stool	160502038	Stool	HMP
Subgingival.plaque__160502038	Subgingival plaque	160502038	Subgingival plaque	HMP
Supragingival.plaque__160502038	Supragingival plaque	160502038	Supragingival plaque	HMP
Tongue.dorsum__160502038	Tongue dorsum	160502038	Tongue dorsum	HMP
Buccal.mucosa__160542498	Buccal mucosa	160542498	Buccal mucosa	HMP
Hard.palate__160542498	Hard palate	160542498	Hard palate	HMP
Saliva__160542498	Saliva	160542498	Saliva	HMP
Stool__160542498	Stool	160542498	Stool	HMP
Subgingival.plaque__160542498	Subgingival plaque	160542498	Subgingival plaque	HMP
Supragingival.plaque__160542498	Supragingival plaque	160542498	Supragingival plaque	HMP
Tongue.dorsum__160542498	Tongue dorsum	160542498	Tongue dorsum	HMP
Buccal.mucosa__160582958	Buccal mucosa	160582958	Buccal mucosa	HMP
Hard.palate__160582958	Hard palate	160582958	Hard palate	HMP
Saliva__160582958	Saliva	160582958	Saliva	HMP
Stool__160582958	Stool	160582958	Stool	HMP
Subgingival.plaque__160582958	Subgingival plaque	160582958	Subgingival plaque	HMP
Supragingival.plaque__160582958	Supragingival plaque	160582958	Supragingival plaque	HMP
Tongue.dorsum__160582958	Tongue dorsum	160582958	Tongue dorsum	HMP
Buccal.mucosa__160603188	Buccal mucosa	160603188	Buccal mucosa	HMP
Hard.palate__160603188	Hard palate	160603188	Hard palate	HMP
Saliva__160603188	Saliva	160603188	Saliva	HMP
Stool__160603188	Stool	160603188	Stool	HMP
Subgingival.plaque__160603188	Subgingival plaque	160603188	Subgingival plaque	HMP
Supragingival.plaque__160603188	Supragingival plaque	160603188	Supragingival plaque	HMP
Tongue.dorsum__160603188	Tongue dorsum	160603188	Tongue dorsum	HMP
Buccal.mucosa__160643649	Buccal mucosa	160643649	Buccal mucosa	HMP
Hard.palate__160643649	Hard palate	160643649	Hard palate	HMP
Saliva__160643649	Saliva	160643649	Saliva	HMP
Stool__160643649	Stool	160643649	Stool	HMP
Subgingival.plaque__160643649	Subgingival plaque	160643649	Subgingival plaque	HMP
Supragingival.plaque__160643649	Supragingival plaque	160643649	Supragingival plaque	HMP
Tongue.dorsum__160643649	Tongue dorsum	160643649	Tongue dorsum	HMP
Buccal.mucosa__160663879	Buccal mucosa	160663879	Buccal mucosa	HMP
Hard.palate__160663879	Hard palate	160663879	Hard palate	HMP
Saliva__160663879	Saliva	160663879	Saliva	HMP
Stool__160663879	Stool	160663879	Stool	HMP
Subgingival.plaque__160663879	Subgingival plaque	160663879	Subgingival plaque	HMP
Supragingival.plaque__160663879	Supragingival plaque	160663879	Supragingival plaque	HMP
Tongue.dorsum__160663879	Tongue dorsum	160663879	Tongue dorsum	HMP
Buccal.mucosa__160684109	Buccal mucosa	160684109	Buccal mucosa	HMP
Hard.palate__160684109	Hard palate	160684109	Hard palate	HMP
Saliva__160684109	Saliva	160684109	Saliva	HMP
Stool__160684109	Stool	160684109	Stool	HMP
Subgingival.plaque__160684109	Subgingival plaque	160684109	Subgingival plaque	HMP
Supragingival.plaque__160684109	Supragingival plaque	160684109	Supragingival plaque	HMP
Tongue.dorsum__160684109	Tongue dorsum	160684109	Tongue dorsum	HMP
Buccal.mucosa__160704339	Buccal mucosa	160704339	Buccal mucosa	HMP
Hard.palate__160704339	Hard palate	160704339	Hard palate	HMP
Saliva__160704339	Saliva	160704339	Saliva	HMP
Stool__160704339	Stool	160704339	Stool	HMP
Subgingival.plaque__160704339	Subgingival plaque	160704339	Subgingival plaque	HMP
Supragingival.plaque__160704339	Supragingival plaque	160704339	Supragingival plaque	HMP
Tongue.dorsum__160704339	Tongue dorsum	160704339	Tongue dorsum	HMP
Buccal.mucosa__160765029	Buccal mucosa	160765029	Buccal mucosa	HMP
Hard.palate__160765029	Hard palate	160765029	Hard palate	HMP
Saliva__160765029	Saliva	160765029	Saliva	HMP
Stool__160765029	Stool	160765029	Stool	HMP
Subgingival.plaque__160765029	Subgingival plaque	160765029	Subgingival plaque	HMP
Supragingival.plaque__160765029	Supragingival plaque	160765029	Supragingival plaque	HMP
Tongue.dorsum__160765029	Tongue dorsum	160765029	Tongue dorsum	HMP
Buccal.mucosa__160845950	Buccal mucosa	160845950	Buccal mucosa	HMP
Hard.palate__160845950	Hard palate	160845950	Hard palate	HMP
Saliva__160845950	Saliva	160845950	Saliva	HMP
Stool__160845950	Stool	160845950	Stool	HMP
Subgingival.plaque__160845950	Subgingival plaque	160845950	Subgingival plaque	HMP
Supragingival.plaque__160845950	Supragingival plaque	160845950	Supragingival plaque	HMP
Tongue.dorsum__160845950	Tongue dorsum	160845950	Tongue dorsum	HMP
Buccal.mucosa__178713055	Buccal mucosa	178713055	Buccal mucosa	HMP
Subgingival.plaque__178713055	Subgingival plaque	178713055	Subgingival plaque	HMP
Supragingival.plaque__178713055	Supragingival plaque	178713055	Supragingival plaque	HMP
Tongue.dorsum__178713055	Tongue dorsum	178713055	Tongue dorsum	HMP
Subgingival.plaque__184349034	Subgingival plaque	184349034	Subgingival plaque	HMP
Supragingival.plaque__184349034	Supragingival plaque	184349034	Supragingival plaque	HMP
Buccal.mucosa__208027353	Buccal mucosa	208027353	Buccal mucosa	HMP
Hard.palate__208027353	Hard palate	208027353	Hard palate	HMP
Saliva__208027353	Saliva	208027353	Saliva	HMP
Subgingival.plaque__208027353	Subgingival plaque	208027353	Subgingival plaque	HMP
Supragingival.plaque__208027353	Supragingival plaque	208027353	Supragingival plaque	HMP
Tongue.dorsum__208027353	Tongue dorsum	208027353	Tongue dorsum	HMP
Supragingival.plaque__256789458	Supragingival plaque	256789458	Supragingival plaque	HMP
Tongue.dorsum__256789458	Tongue dorsum	256789458	Tongue dorsum	HMP
Buccal.mucosa__257905678	Buccal mucosa	257905678	Buccal mucosa	HMP
Hard.palate__257905678	Hard palate	257905678	Hard palate	HMP
Saliva__257905678	Saliva	257905678	Saliva	HMP
Stool__257905678	Stool	257905678	Stool	HMP
Subgingival.plaque__257905678	Subgingival plaque	257905678	Subgingival plaque	HMP
Supragingival.plaque__257905678	Supragingival plaque	257905678	Supragingival plaque	HMP
Tongue.dorsum__257905678	Tongue dorsum	257905678	Tongue dorsum	HMP
Supragingival.plaque__275382046	Supragingival plaque	275382046	Supragingival plaque	HMP
Tongue.dorsum__275382046	Tongue dorsum	275382046	Tongue dorsum	HMP
Buccal.mucosa__289996019	Buccal mucosa	289996019	Buccal mucosa	HMP
Hard.palate__289996019	Hard palate	289996019	Hard palate	HMP
Saliva__289996019	Saliva	289996019	Saliva	HMP
Stool__289996019	Stool	289996019	Stool	HMP
Subgingival.plaque__289996019	Subgingival plaque	289996019	Subgingival plaque	HMP
Supragingival.plaque__289996019	Supragingival plaque	289996019	Supragingival plaque	HMP
Tongue.dorsum__289996019	Tongue dorsum	289996019	Tongue dorsum	HMP
Stool__338793263	Stool	338793263	Stool	HMP
Buccal.mucosa__355657046	Buccal mucosa	355657046	Buccal mucosa	HMP
Hard.palate__355657046	Hard palate	355657046	Hard palate	HMP
Stool__355657046	Stool	355657046	Stool	HMP
Supragingival.plaque__355657046	Supragingival plaque	355657046	Supragingival plaque	HMP
Tongue.dorsum__355657046	Tongue dorsum	355657046	Tongue dorsum	HMP
Buccal.mucosa__375450439	Buccal mucosa	375450439	Buccal mucosa	HMP
Hard.palate__375450439	Hard palate	375450439	Hard palate	HMP
Saliva__375450439	Saliva	375450439	Saliva	HMP
Stool__375450439	Stool	375450439	Stool	HMP
Subgingival.plaque__375450439	Subgingival plaque	375450439	Subgingival plaque	HMP
Supragingival.plaque__375450439	Supragingival plaque	375450439	Supragingival plaque	HMP
Tongue.dorsum__375450439	Tongue dorsum	375450439	Tongue dorsum	HMP
Buccal.mucosa__451588811	Buccal mucosa	451588811	Buccal mucosa	HMP
Hard.palate__451588811	Hard palate	451588811	Hard palate	HMP
Stool__451588811	Stool	451588811	Stool	HMP
Buccal.mucosa__465578759	Buccal mucosa	465578759	Buccal mucosa	HMP
Hard.palate__465578759	Hard palate	465578759	Hard palate	HMP
Subgingival.plaque__465578759	Subgingival plaque	465578759	Subgingival plaque	HMP
Supragingival.plaque__465578759	Supragingival plaque	465578759	Supragingival plaque	HMP
Tongue.dorsum__465578759	Tongue dorsum	465578759	Tongue dorsum	HMP
Buccal.mucosa__508703490	Buccal mucosa	508703490	Buccal mucosa	HMP
Stool__516889361	Stool	516889361	Stool	HMP
Subgingival.plaque__516889361	Subgingival plaque	516889361	Subgingival plaque	HMP
Tongue.dorsum__516889361	Tongue dorsum	516889361	Tongue dorsum	HMP
Buccal.mucosa__517810313	Buccal mucosa	517810313	Buccal mucosa	HMP
Hard.palate__517810313	Hard palate	517810313	Hard palate	HMP
Saliva__517810313	Saliva	517810313	Saliva	HMP
Subgingival.plaque__517810313	Subgingival plaque	517810313	Subgingival plaque	HMP
Supragingival.plaque__517810313	Supragingival plaque	517810313	Supragingival plaque	HMP
Tongue.dorsum__517810313	Tongue dorsum	517810313	Tongue dorsum	HMP
Stool__550534656	Stool	550534656	Stool	HMP
Buccal.mucosa__553359145	Buccal mucosa	553359145	Buccal mucosa	HMP
Hard.palate__553359145	Hard palate	553359145	Hard palate	HMP
Saliva__553359145	Saliva	553359145	Saliva	HMP
Subgingival.plaque__553359145	Subgingival plaque	553359145	Subgingival plaque	HMP
Supragingival.plaque__553359145	Supragingival plaque	553359145	Supragingival plaque	HMP
Tongue.dorsum__553359145	Tongue dorsum	553359145	Tongue dorsum	HMP
Stool__561079058	Stool	561079058	Stool	HMP
Buccal.mucosa__612472597	Buccal mucosa	612472597	Buccal mucosa	HMP
Hard.palate__612472597	Hard palate	612472597	Hard palate	HMP
Saliva__612472597	Saliva	612472597	Saliva	HMP
Stool__612472597	Stool	612472597	Stool	HMP
Subgingival.plaque__612472597	Subgingival plaque	612472597	Subgingival plaque	HMP
Supragingival.plaque__612472597	Supragingival plaque	612472597	Supragingival plaque	HMP
Tongue.dorsum__612472597	Tongue dorsum	612472597	Tongue dorsum	HMP
Buccal.mucosa__643185023	Buccal mucosa	643185023	Buccal mucosa	HMP
Stool__643185023	Stool	643185023	Stool	HMP
Subgingival.plaque__643185023	Subgingival plaque	643185023	Subgingival plaque	HMP
Supragingival.plaque__643185023	Supragingival plaque	643185023	Supragingival plaque	HMP
Tongue.dorsum__643185023	Tongue dorsum	643185023	Tongue dorsum	HMP
Subgingival.plaque__658594300	Subgingival plaque	658594300	Subgingival plaque	HMP
Supragingival.plaque__658594300	Supragingival plaque	658594300	Supragingival plaque	HMP
Tongue.dorsum__658594300	Tongue dorsum	658594300	Tongue dorsum	HMP
Buccal.mucosa__663835652	Buccal mucosa	663835652	Buccal mucosa	HMP
Hard.palate__663835652	Hard palate	663835652	Hard palate	HMP
Saliva__663835652	Saliva	663835652	Saliva	HMP
Stool__663835652	Stool	663835652	Stool	HMP
Supragingival.plaque__663835652	Supragingival plaque	663835652	Supragingival plaque	HMP
Tongue.dorsum__663835652	Tongue dorsum	663835652	Tongue dorsum	HMP
Buccal.mucosa__668248235	Buccal mucosa	668248235	Buccal mucosa	HMP
Hard.palate__668248235	Hard palate	668248235	Hard palate	HMP
Saliva__668248235	Saliva	668248235	Saliva	HMP
Subgingival.plaque__668248235	Subgingival plaque	668248235	Subgingival plaque	HMP
Supragingival.plaque__668248235	Supragingival plaque	668248235	Supragingival plaque	HMP
Tongue.dorsum__668248235	Tongue dorsum	668248235	Tongue dorsum	HMP
Stool__675950834	Stool	675950834	Stool	HMP
Stool__682102541	Stool	682102541	Stool	HMP
Buccal.mucosa__682449369	Buccal mucosa	682449369	Buccal mucosa	HMP
Hard.palate__682449369	Hard palate	682449369	Hard palate	HMP
Saliva__682449369	Saliva	682449369	Saliva	HMP
Subgingival.plaque__682449369	Subgingival plaque	682449369	Subgingival plaque	HMP
Supragingival.plaque__682449369	Supragingival plaque	682449369	Supragingival plaque	HMP
Tongue.dorsum__682449369	Tongue dorsum	682449369	Tongue dorsum	HMP
Stool__706846339	Stool	706846339	Stool	HMP
Buccal.mucosa__737052003	Buccal mucosa	737052003	Buccal mucosa	HMP
Hard.palate__737052003	Hard palate	737052003	Hard palate	HMP
Saliva__737052003	Saliva	737052003	Saliva	HMP
Stool__737052003	Stool	737052003	Stool	HMP
Subgingival.plaque__737052003	Subgingival plaque	737052003	Subgingival plaque	HMP
Supragingival.plaque__737052003	Supragingival plaque	737052003	Supragingival plaque	HMP
Tongue.dorsum__737052003	Tongue dorsum	737052003	Tongue dorsum	HMP
Stool__739574095	Stool	739574095	Stool	HMP
Buccal.mucosa__763395383	Buccal mucosa	763395383	Buccal mucosa	HMP
Hard.palate__763395383	Hard palate	763395383	Hard palate	HMP
Saliva__763395383	Saliva	763395383	Saliva	HMP
Stool__763395383	Stool	763395383	Stool	HMP
Subgingival.plaque__763395383	Subgingival plaque	763395383	Subgingival plaque	HMP
Supragingival.plaque__763395383	Supragingival plaque	763395383	Supragingival plaque	HMP
Buccal.mucosa__763456073	Buccal mucosa	763456073	Buccal mucosa	HMP
Hard.palate__763456073	Hard palate	763456073	Hard palate	HMP
Saliva__763456073	Saliva	763456073	Saliva	HMP
Stool__763456073	Stool	763456073	Stool	HMP
Subgingival.plaque__763456073	Subgingival plaque	763456073	Subgingival plaque	HMP
Supragingival.plaque__763456073	Supragingival plaque	763456073	Supragingival plaque	HMP
Tongue.dorsum__763456073	Tongue dorsum	763456073	Tongue dorsum	HMP
Buccal.mucosa__763476303	Buccal mucosa	763476303	Buccal mucosa	HMP
Hard.palate__763476303	Hard palate	763476303	Hard palate	HMP
Saliva__763476303	Saliva	763476303	Saliva	HMP
Stool__763476303	Stool	763476303	Stool	HMP
Subgingival.plaque__763476303	Subgingival plaque	763476303	Subgingival plaque	HMP
Supragingival.plaque__763476303	Supragingival plaque	763476303	Supragingival plaque	HMP
Tongue.dorsum__763476303	Tongue dorsum	763476303	Tongue dorsum	HMP
Buccal.mucosa__763516763	Buccal mucosa	763516763	Buccal mucosa	HMP
Hard.palate__763516763	Hard palate	763516763	Hard palate	HMP
Saliva__763516763	Saliva	763516763	Saliva	HMP
Stool__763516763	Stool	763516763	Stool	HMP
Subgingival.plaque__763516763	Subgingival plaque	763516763	Subgingival plaque	HMP
Supragingival.plaque__763516763	Supragingival plaque	763516763	Supragingival plaque	HMP
Tongue.dorsum__763516763	Tongue dorsum	763516763	Tongue dorsum	HMP
Buccal.mucosa__763536994	Buccal mucosa	763536994	Buccal mucosa	HMP
Hard.palate__763536994	Hard palate	763536994	Hard palate	HMP
Saliva__763536994	Saliva	763536994	Saliva	HMP
Stool__763536994	Stool	763536994	Stool	HMP
Subgingival.plaque__763536994	Subgingival plaque	763536994	Subgingival plaque	HMP
Supragingival.plaque__763536994	Supragingival plaque	763536994	Supragingival plaque	HMP
Tongue.dorsum__763536994	Tongue dorsum	763536994	Tongue dorsum	HMP
Buccal.mucosa__763557224	Buccal mucosa	763557224	Buccal mucosa	HMP
Saliva__763557224	Saliva	763557224	Saliva	HMP
Stool__763557224	Stool	763557224	Stool	HMP
Subgingival.plaque__763557224	Subgingival plaque	763557224	Subgingival plaque	HMP
Supragingival.plaque__763557224	Supragingival plaque	763557224	Supragingival plaque	HMP
Tongue.dorsum__763557224	Tongue dorsum	763557224	Tongue dorsum	HMP
Buccal.mucosa__763597684	Buccal mucosa	763597684	Buccal mucosa	HMP
Hard.palate__763597684	Hard palate	763597684	Hard palate	HMP
Saliva__763597684	Saliva	763597684	Saliva	HMP
Stool__763597684	Stool	763597684	Stool	HMP
Subgingival.plaque__763597684	Subgingival plaque	763597684	Subgingival plaque	HMP
Supragingival.plaque__763597684	Supragingival plaque	763597684	Supragingival plaque	HMP
Tongue.dorsum__763597684	Tongue dorsum	763597684	Tongue dorsum	HMP
Buccal.mucosa__763638144	Buccal mucosa	763638144	Buccal mucosa	HMP
Hard.palate__763638144	Hard palate	763638144	Hard palate	HMP
Saliva__763638144	Saliva	763638144	Saliva	HMP
Stool__763638144	Stool	763638144	Stool	HMP
Subgingival.plaque__763638144	Subgingival plaque	763638144	Subgingival plaque	HMP
Supragingival.plaque__763638144	Supragingival plaque	763638144	Supragingival plaque	HMP
Tongue.dorsum__763638144	Tongue dorsum	763638144	Tongue dorsum	HMP
Buccal.mucosa__763678604	Buccal mucosa	763678604	Buccal mucosa	HMP
Hard.palate__763678604	Hard palate	763678604	Hard palate	HMP
Stool__763678604	Stool	763678604	Stool	HMP
Subgingival.plaque__763678604	Subgingival plaque	763678604	Subgingival plaque	HMP
Supragingival.plaque__763678604	Supragingival plaque	763678604	Supragingival plaque	HMP
Tongue.dorsum__763678604	Tongue dorsum	763678604	Tongue dorsum	HMP
Buccal.mucosa__763698834	Buccal mucosa	763698834	Buccal mucosa	HMP
Hard.palate__763698834	Hard palate	763698834	Hard palate	HMP
Stool__763698834	Stool	763698834	Stool	HMP
Subgingival.plaque__763698834	Subgingival plaque	763698834	Subgingival plaque	HMP
Supragingival.plaque__763698834	Supragingival plaque	763698834	Supragingival plaque	HMP
Tongue.dorsum__763698834	Tongue dorsum	763698834	Tongue dorsum	HMP
Buccal.mucosa__763719065	Buccal mucosa	763719065	Buccal mucosa	HMP
Hard.palate__763719065	Hard palate	763719065	Hard palate	HMP
Saliva__763719065	Saliva	763719065	Saliva	HMP
Stool__763719065	Stool	763719065	Stool	HMP
Subgingival.plaque__763719065	Subgingival plaque	763719065	Subgingival plaque	HMP
Supragingival.plaque__763719065	Supragingival plaque	763719065	Supragingival plaque	HMP
Tongue.dorsum__763719065	Tongue dorsum	763719065	Tongue dorsum	HMP
Buccal.mucosa__763721271	Buccal mucosa	763721271	Buccal mucosa	HMP
Hard.palate__763721271	Hard palate	763721271	Hard palate	HMP
Saliva__763721271	Saliva	763721271	Saliva	HMP
Stool__763721271	Stool	763721271	Stool	HMP
Subgingival.plaque__763721271	Subgingival plaque	763721271	Subgingival plaque	HMP
Supragingival.plaque__763721271	Supragingival plaque	763721271	Supragingival plaque	HMP
Tongue.dorsum__763721271	Tongue dorsum	763721271	Tongue dorsum	HMP
Buccal.mucosa__763759525	Buccal mucosa	763759525	Buccal mucosa	HMP
Hard.palate__763759525	Hard palate	763759525	Hard palate	HMP
Saliva__763759525	Saliva	763759525	Saliva	HMP
Stool__763759525	Stool	763759525	Stool	HMP
Subgingival.plaque__763759525	Subgingival plaque	763759525	Subgingival plaque	HMP
Supragingival.plaque__763759525	Supragingival plaque	763759525	Supragingival plaque	HMP
Tongue.dorsum__763759525	Tongue dorsum	763759525	Tongue dorsum	HMP
Buccal.mucosa__763820215	Buccal mucosa	763820215	Buccal mucosa	HMP
Hard.palate__763820215	Hard palate	763820215	Hard palate	HMP
Saliva__763820215	Saliva	763820215	Saliva	HMP
Stool__763820215	Stool	763820215	Stool	HMP
Subgingival.plaque__763820215	Subgingival plaque	763820215	Subgingival plaque	HMP
Supragingival.plaque__763820215	Supragingival plaque	763820215	Supragingival plaque	HMP
Tongue.dorsum__763820215	Tongue dorsum	763820215	Tongue dorsum	HMP
Buccal.mucosa__763840445	Buccal mucosa	763840445	Buccal mucosa	HMP
Hard.palate__763840445	Hard palate	763840445	Hard palate	HMP
Saliva__763840445	Saliva	763840445	Saliva	HMP
Stool__763840445	Stool	763840445	Stool	HMP
Subgingival.plaque__763840445	Subgingival plaque	763840445	Subgingival plaque	HMP
Supragingival.plaque__763840445	Supragingival plaque	763840445	Supragingival plaque	HMP
Tongue.dorsum__763840445	Tongue dorsum	763840445	Tongue dorsum	HMP
Buccal.mucosa__763860675	Buccal mucosa	763860675	Buccal mucosa	HMP
Hard.palate__763860675	Hard palate	763860675	Hard palate	HMP
Saliva__763860675	Saliva	763860675	Saliva	HMP
Stool__763860675	Stool	763860675	Stool	HMP
Subgingival.plaque__763860675	Subgingival plaque	763860675	Subgingival plaque	HMP
Supragingival.plaque__763860675	Supragingival plaque	763860675	Supragingival plaque	HMP
Tongue.dorsum__763860675	Tongue dorsum	763860675	Tongue dorsum	HMP
Buccal.mucosa__763880905	Buccal mucosa	763880905	Buccal mucosa	HMP
Hard.palate__763880905	Hard palate	763880905	Hard palate	HMP
Saliva__763880905	Saliva	763880905	Saliva	HMP
Stool__763880905	Stool	763880905	Stool	HMP
Subgingival.plaque__763880905	Subgingival plaque	763880905	Subgingival plaque	HMP
Supragingival.plaque__763880905	Supragingival plaque	763880905	Supragingival plaque	HMP
Tongue.dorsum__763880905	Tongue dorsum	763880905	Tongue dorsum	HMP
Buccal.mucosa__763901136	Buccal mucosa	763901136	Buccal mucosa	HMP
