sampleid	env	subject	bodysite	dataset
Throat__158964549	Throat	158964549	Throat	HMP
Tongue.dorsum__158964549	Tongue dorsum	158964549	Tongue dorsum	HMP
Anterior.nares__158984779	Anterior nares	158984779	Anterior nares	HMP
Attached.Keratinized.gingiva__158984779	Attached/Keratinized gingiva	158984779	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158984779	Buccal mucosa	158984779	Buccal mucosa	HMP
Hard.palate__158984779	Hard palate	158984779	Hard palate	HMP
L_Antecubital.fossa__158984779	L_Antecubital fossa	158984779	L_Antecubital fossa	HMP
Mid.vagina__158984779	Mid vagina	158984779	Mid vagina	HMP
Palatine.Tonsils__158984779	Palatine Tonsils	158984779	Palatine Tonsils	HMP
Posterior.fornix__158984779	Posterior fornix	158984779	Posterior fornix	HMP
R_Antecubital.fossa__158984779	R_Antecubital fossa	158984779	R_Antecubital fossa	HMP
Retroauricular.crease__158984779	Retroauricular crease	158984779	Retroauricular crease	HMP
Saliva__158984779	Saliva	158984779	Saliva	HMP
Subgingival.plaque__158984779	Subgingival plaque	158984779	Subgingival plaque	HMP
Supragingival.plaque__158984779	Supragingival plaque	158984779	Supragingival plaque	HMP
Throat__158984779	Throat	158984779	Throat	HMP
Tongue.dorsum__158984779	Tongue dorsum	158984779	Tongue dorsum	HMP
Vaginal.introitus__158984779	Vaginal introitus	158984779	Vaginal introitus	HMP
Anterior.nares__159005010	Anterior nares	159005010	Anterior nares	HMP
Attached.Keratinized.gingiva__159005010	Attached/Keratinized gingiva	159005010	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159005010	Buccal mucosa	159005010	Buccal mucosa	HMP
Hard.palate__159005010	Hard palate	159005010	Hard palate	HMP
L_Antecubital.fossa__159005010	L_Antecubital fossa	159005010	L_Antecubital fossa	HMP
Mid.vagina__159005010	Mid vagina	159005010	Mid vagina	HMP
Palatine.Tonsils__159005010	Palatine Tonsils	159005010	Palatine Tonsils	HMP
Posterior.fornix__159005010	Posterior fornix	159005010	Posterior fornix	HMP
R_Antecubital.fossa__159005010	R_Antecubital fossa	159005010	R_Antecubital fossa	HMP
Retroauricular.crease__159005010	Retroauricular crease	159005010	Retroauricular crease	HMP
Saliva__159005010	Saliva	159005010	Saliva	HMP
Stool__159005010	Stool	159005010	Stool	HMP
Subgingival.plaque__159005010	Subgingival plaque	159005010	Subgingival plaque	HMP
Supragingival.plaque__159005010	Supragingival plaque	159005010	Supragingival plaque	HMP
Throat__159005010	Throat	159005010	Throat	HMP
Tongue.dorsum__159005010	Tongue dorsum	159005010	Tongue dorsum	HMP
Vaginal.introitus__159005010	Vaginal introitus	159005010	Vaginal introitus	HMP
Anterior.nares__159085930	Anterior nares	159085930	Anterior nares	HMP
Attached.Keratinized.gingiva__159085930	Attached/Keratinized gingiva	159085930	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159085930	Buccal mucosa	159085930	Buccal mucosa	HMP
Hard.palate__159085930	Hard palate	159085930	Hard palate	HMP
L_Antecubital.fossa__159085930	L_Antecubital fossa	159085930	L_Antecubital fossa	HMP
Mid.vagina__159085930	Mid vagina	159085930	Mid vagina	HMP
Palatine.Tonsils__159085930	Palatine Tonsils	159085930	Palatine Tonsils	HMP
Posterior.fornix__159085930	Posterior fornix	159085930	Posterior fornix	HMP
R_Antecubital.fossa__159085930	R_Antecubital fossa	159085930	R_Antecubital fossa	HMP
Retroauricular.crease__159085930	Retroauricular crease	159085930	Retroauricular crease	HMP
Saliva__159085930	Saliva	159085930	Saliva	HMP
Stool__159085930	Stool	159085930	Stool	HMP
Subgingival.plaque__159085930	Subgingival plaque	159085930	Subgingival plaque	HMP
Supragingival.plaque__159085930	Supragingival plaque	159085930	Supragingival plaque	HMP
Throat__159085930	Throat	159085930	Throat	HMP
Tongue.dorsum__159085930	Tongue dorsum	159085930	Tongue dorsum	HMP
Vaginal.introitus__159085930	Vaginal introitus	159085930	Vaginal introitus	HMP
Anterior.nares__159146620	Anterior nares	159146620	Anterior nares	HMP
Attached.Keratinized.gingiva__159146620	Attached/Keratinized gingiva	159146620	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159146620	Buccal mucosa	159146620	Buccal mucosa	HMP
Hard.palate__159146620	Hard palate	159146620	Hard palate	HMP
L_Antecubital.fossa__159146620	L_Antecubital fossa	159146620	L_Antecubital fossa	HMP
Palatine.Tonsils__159146620	Palatine Tonsils	159146620	Palatine Tonsils	HMP
R_Antecubital.fossa__159146620	R_Antecubital fossa	159146620	R_Antecubital fossa	HMP
Retroauricular.crease__159146620	Retroauricular crease	159146620	Retroauricular crease	HMP
Saliva__159146620	Saliva	159146620	Saliva	HMP
Stool__159146620	Stool	159146620	Stool	HMP
Subgingival.plaque__159146620	Subgingival plaque	159146620	Subgingival plaque	HMP
Supragingival.plaque__159146620	Supragingival plaque	159146620	Supragingival plaque	HMP
Throat__159146620	Throat	159146620	Throat	HMP
Tongue.dorsum__159146620	Tongue dorsum	159146620	Tongue dorsum	HMP
Anterior.nares__159166850	Anterior nares	159166850	Anterior nares	HMP
Attached.Keratinized.gingiva__159166850	Attached/Keratinized gingiva	159166850	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159166850	Buccal mucosa	159166850	Buccal mucosa	HMP
Hard.palate__159166850	Hard palate	159166850	Hard palate	HMP
L_Antecubital.fossa__159166850	L_Antecubital fossa	159166850	L_Antecubital fossa	HMP
Palatine.Tonsils__159166850	Palatine Tonsils	159166850	Palatine Tonsils	HMP
R_Antecubital.fossa__159166850	R_Antecubital fossa	159166850	R_Antecubital fossa	HMP
Retroauricular.crease__159166850	Retroauricular crease	159166850	Retroauricular crease	HMP
Saliva__159166850	Saliva	159166850	Saliva	HMP
Stool__159166850	Stool	159166850	Stool	HMP
Subgingival.plaque__159166850	Subgingival plaque	159166850	Subgingival plaque	HMP
Supragingival.plaque__159166850	Supragingival plaque	159166850	Supragingival plaque	HMP
Throat__159166850	Throat	159166850	Throat	HMP
Tongue.dorsum__159166850	Tongue dorsum	159166850	Tongue dorsum	HMP
Anterior.nares__159207311	Anterior nares	159207311	Anterior nares	HMP
Attached.Keratinized.gingiva__159207311	Attached/Keratinized gingiva	159207311	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159207311	Buccal mucosa	159207311	Buccal mucosa	HMP
Hard.palate__159207311	Hard palate	159207311	Hard palate	HMP
L_Antecubital.fossa__159207311	L_Antecubital fossa	159207311	L_Antecubital fossa	HMP
Palatine.Tonsils__159207311	Palatine Tonsils	159207311	Palatine Tonsils	HMP
R_Antecubital.fossa__159207311	R_Antecubital fossa	159207311	R_Antecubital fossa	HMP
Retroauricular.crease__159207311	Retroauricular crease	159207311	Retroauricular crease	HMP
Saliva__159207311	Saliva	159207311	Saliva	HMP
Stool__159207311	Stool	159207311	Stool	HMP
Subgingival.plaque__159207311	Subgingival plaque	159207311	Subgingival plaque	HMP
Supragingival.plaque__159207311	Supragingival plaque	159207311	Supragingival plaque	HMP
Throat__159207311	Throat	159207311	Throat	HMP
Tongue.dorsum__159207311	Tongue dorsum	159207311	Tongue dorsum	HMP
Anterior.nares__159227541	Anterior nares	159227541	Anterior nares	HMP
Attached.Keratinized.gingiva__159227541	Attached/Keratinized gingiva	159227541	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159227541	Buccal mucosa	159227541	Buccal mucosa	HMP
Hard.palate__159227541	Hard palate	159227541	Hard palate	HMP
L_Antecubital.fossa__159227541	L_Antecubital fossa	159227541	L_Antecubital fossa	HMP
Mid.vagina__159227541	Mid vagina	159227541	Mid vagina	HMP
Palatine.Tonsils__159227541	Palatine Tonsils	159227541	Palatine Tonsils	HMP
Posterior.fornix__159227541	Posterior fornix	159227541	Posterior fornix	HMP
R_Antecubital.fossa__159227541	R_Antecubital fossa	159227541	R_Antecubital fossa	HMP
Retroauricular.crease__159227541	Retroauricular crease	159227541	Retroauricular crease	HMP
Saliva__159227541	Saliva	159227541	Saliva	HMP
Stool__159227541	Stool	159227541	Stool	HMP
Subgingival.plaque__159227541	Subgingival plaque	159227541	Subgingival plaque	HMP
Supragingival.plaque__159227541	Supragingival plaque	159227541	Supragingival plaque	HMP
Throat__159227541	Throat	159227541	Throat	HMP
Tongue.dorsum__159227541	Tongue dorsum	159227541	Tongue dorsum	HMP
Vaginal.introitus__159227541	Vaginal introitus	159227541	Vaginal introitus	HMP
Anterior.nares__159247771	Anterior nares	159247771	Anterior nares	HMP
Attached.Keratinized.gingiva__159247771	Attached/Keratinized gingiva	159247771	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159247771	Buccal mucosa	159247771	Buccal mucosa	HMP
Hard.palate__159247771	Hard palate	159247771	Hard palate	HMP
L_Antecubital.fossa__159247771	L_Antecubital fossa	159247771	L_Antecubital fossa	HMP
Mid.vagina__159247771	Mid vagina	159247771	Mid vagina	HMP
Palatine.Tonsils__159247771	Palatine Tonsils	159247771	Palatine Tonsils	HMP
Posterior.fornix__159247771	Posterior fornix	159247771	Posterior fornix	HMP
R_Antecubital.fossa__159247771	R_Antecubital fossa	159247771	R_Antecubital fossa	HMP
Retroauricular.crease__159247771	Retroauricular crease	159247771	Retroauricular crease	HMP
Saliva__159247771	Saliva	159247771	Saliva	HMP
Stool__159247771	Stool	159247771	Stool	HMP
Subgingival.plaque__159247771	Subgingival plaque	159247771	Subgingival plaque	HMP
Supragingival.plaque__159247771	Supragingival plaque	159247771	Supragingival plaque	HMP
Throat__159247771	Throat	159247771	Throat	HMP
Tongue.dorsum__159247771	Tongue dorsum	159247771	Tongue dorsum	HMP
Vaginal.introitus__159247771	Vaginal introitus	159247771	Vaginal introitus	HMP
Anterior.nares__159268001	Anterior nares	159268001	Anterior nares	HMP
Attached.Keratinized.gingiva__159268001	Attached/Keratinized gingiva	159268001	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159268001	Buccal mucosa	159268001	Buccal mucosa	HMP
Hard.palate__159268001	Hard palate	159268001	Hard palate	HMP
L_Antecubital.fossa__159268001	L_Antecubital fossa	159268001	L_Antecubital fossa	HMP
Palatine.Tonsils__159268001	Palatine Tonsils	159268001	Palatine Tonsils	HMP
R_Antecubital.fossa__159268001	R_Antecubital fossa	159268001	R_Antecubital fossa	HMP
Retroauricular.crease__159268001	Retroauricular crease	159268001	Retroauricular crease	HMP
Saliva__159268001	Saliva	159268001	Saliva	HMP
Stool__159268001	Stool	159268001	Stool	HMP
Subgingival.plaque__159268001	Subgingival plaque	159268001	Subgingival plaque	HMP
Supragingival.plaque__159268001	Supragingival plaque	159268001	Supragingival plaque	HMP
Throat__159268001	Throat	159268001	Throat	HMP
Tongue.dorsum__159268001	Tongue dorsum	159268001	Tongue dorsum	HMP
Anterior.nares__159288231	Anterior nares	159288231	Anterior nares	HMP
Attached.Keratinized.gingiva__159288231	Attached/Keratinized gingiva	159288231	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159288231	Buccal mucosa	159288231	Buccal mucosa	HMP
Hard.palate__159288231	Hard palate	159288231	Hard palate	HMP
L_Antecubital.fossa__159288231	L_Antecubital fossa	159288231	L_Antecubital fossa	HMP
Palatine.Tonsils__159288231	Palatine Tonsils	159288231	Palatine Tonsils	HMP
R_Antecubital.fossa__159288231	R_Antecubital fossa	159288231	R_Antecubital fossa	HMP
Retroauricular.crease__159288231	Retroauricular crease	159288231	Retroauricular crease	HMP
Saliva__159288231	Saliva	159288231	Saliva	HMP
Stool__159288231	Stool	159288231	Stool	HMP
Subgingival.plaque__159288231	Subgingival plaque	159288231	Subgingival plaque	HMP
Supragingival.plaque__159288231	Supragingival plaque	159288231	Supragingival plaque	HMP
Throat__159288231	Throat	159288231	Throat	HMP
Tongue.dorsum__159288231	Tongue dorsum	159288231	Tongue dorsum	HMP
Anterior.nares__159308461	Anterior nares	159308461	Anterior nares	HMP
Attached.Keratinized.gingiva__159308461	Attached/Keratinized gingiva	159308461	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159308461	Buccal mucosa	159308461	Buccal mucosa	HMP
Hard.palate__159308461	Hard palate	159308461	Hard palate	HMP
L_Antecubital.fossa__159308461	L_Antecubital fossa	159308461	L_Antecubital fossa	HMP
Palatine.Tonsils__159308461	Palatine Tonsils	159308461	Palatine Tonsils	HMP
R_Antecubital.fossa__159308461	R_Antecubital fossa	159308461	R_Antecubital fossa	HMP
Retroauricular.crease__159308461	Retroauricular crease	159308461	Retroauricular crease	HMP
Saliva__159308461	Saliva	159308461	Saliva	HMP
Stool__159308461	Stool	159308461	Stool	HMP
Subgingival.plaque__159308461	Subgingival plaque	159308461	Subgingival plaque	HMP
Supragingival.plaque__159308461	Supragingival plaque	159308461	Supragingival plaque	HMP
Throat__159308461	Throat	159308461	Throat	HMP
Tongue.dorsum__159308461	Tongue dorsum	159308461	Tongue dorsum	HMP
Anterior.nares__159328691	Anterior nares	159328691	Anterior nares	HMP
Attached.Keratinized.gingiva__159328691	Attached/Keratinized gingiva	159328691	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159328691	Buccal mucosa	159328691	Buccal mucosa	HMP
Hard.palate__159328691	Hard palate	159328691	Hard palate	HMP
Palatine.Tonsils__159328691	Palatine Tonsils	159328691	Palatine Tonsils	HMP
Saliva__159328691	Saliva	159328691	Saliva	HMP
Stool__159328691	Stool	159328691	Stool	HMP
Subgingival.plaque__159328691	Subgingival plaque	159328691	Subgingival plaque	HMP
Supragingival.plaque__159328691	Supragingival plaque	159328691	Supragingival plaque	HMP
Throat__159328691	Throat	159328691	Throat	HMP
Tongue.dorsum__159328691	Tongue dorsum	159328691	Tongue dorsum	HMP
Anterior.nares__159369152	Anterior nares	159369152	Anterior nares	HMP
Attached.Keratinized.gingiva__159369152	Attached/Keratinized gingiva	159369152	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159369152	Buccal mucosa	159369152	Buccal mucosa	HMP
Hard.palate__159369152	Hard palate	159369152	Hard palate	HMP
L_Antecubital.fossa__159369152	L_Antecubital fossa	159369152	L_Antecubital fossa	HMP
Palatine.Tonsils__159369152	Palatine Tonsils	159369152	Palatine Tonsils	HMP
R_Antecubital.fossa__159369152	R_Antecubital fossa	159369152	R_Antecubital fossa	HMP
Retroauricular.crease__159369152	Retroauricular crease	159369152	Retroauricular crease	HMP
Saliva__159369152	Saliva	159369152	Saliva	HMP
Stool__159369152	Stool	159369152	Stool	HMP
Subgingival.plaque__159369152	Subgingival plaque	159369152	Subgingival plaque	HMP
Supragingival.plaque__159369152	Supragingival plaque	159369152	Supragingival plaque	HMP
Throat__159369152	Throat	159369152	Throat	HMP
Tongue.dorsum__159369152	Tongue dorsum	159369152	Tongue dorsum	HMP
Anterior.nares__159389382	Anterior nares	159389382	Anterior nares	HMP
Attached.Keratinized.gingiva__159389382	Attached/Keratinized gingiva	159389382	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159389382	Buccal mucosa	159389382	Buccal mucosa	HMP
Hard.palate__159389382	Hard palate	159389382	Hard palate	HMP
L_Antecubital.fossa__159389382	L_Antecubital fossa	159389382	L_Antecubital fossa	HMP
Palatine.Tonsils__159389382	Palatine Tonsils	159389382	Palatine Tonsils	HMP
R_Antecubital.fossa__159389382	R_Antecubital fossa	159389382	R_Antecubital fossa	HMP
Retroauricular.crease__159389382	Retroauricular crease	159389382	Retroauricular crease	HMP
Saliva__159389382	Saliva	159389382	Saliva	HMP
Stool__159389382	Stool	159389382	Stool	HMP
Subgingival.plaque__159389382	Subgingival plaque	159389382	Subgingival plaque	HMP
Supragingival.plaque__159389382	Supragingival plaque	159389382	Supragingival plaque	HMP
Throat__159389382	Throat	159389382	Throat	HMP
Tongue.dorsum__159389382	Tongue dorsum	159389382	Tongue dorsum	HMP
Anterior.nares__159429842	Anterior nares	159429842	Anterior nares	HMP
Attached.Keratinized.gingiva__159429842	Attached/Keratinized gingiva	159429842	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159429842	Buccal mucosa	159429842	Buccal mucosa	HMP
Hard.palate__159429842	Hard palate	159429842	Hard palate	HMP
L_Antecubital.fossa__159429842	L_Antecubital fossa	159429842	L_Antecubital fossa	HMP
Palatine.Tonsils__159429842	Palatine Tonsils	159429842	Palatine Tonsils	HMP
R_Antecubital.fossa__159429842	R_Antecubital fossa	159429842	R_Antecubital fossa	HMP
Retroauricular.crease__159429842	Retroauricular crease	159429842	Retroauricular crease	HMP
Saliva__159429842	Saliva	159429842	Saliva	HMP
Stool__159429842	Stool	159429842	Stool	HMP
Subgingival.plaque__159429842	Subgingival plaque	159429842	Subgingival plaque	HMP
Supragingival.plaque__159429842	Supragingival plaque	159429842	Supragingival plaque	HMP
Throat__159429842	Throat	159429842	Throat	HMP
Tongue.dorsum__159429842	Tongue dorsum	159429842	Tongue dorsum	HMP
Anterior.nares__159450072	Anterior nares	159450072	Anterior nares	HMP
Attached.Keratinized.gingiva__159450072	Attached/Keratinized gingiva	159450072	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159450072	Buccal mucosa	159450072	Buccal mucosa	HMP
Hard.palate__159450072	Hard palate	159450072	Hard palate	HMP
L_Antecubital.fossa__159450072	L_Antecubital fossa	159450072	L_Antecubital fossa	HMP
Palatine.Tonsils__159450072	Palatine Tonsils	159450072	Palatine Tonsils	HMP
R_Antecubital.fossa__159450072	R_Antecubital fossa	159450072	R_Antecubital fossa	HMP
Retroauricular.crease__159450072	Retroauricular crease	159450072	Retroauricular crease	HMP
Saliva__159450072	Saliva	159450072	Saliva	HMP
Stool__159450072	Stool	159450072	Stool	HMP
Subgingival.plaque__159450072	Subgingival plaque	159450072	Subgingival plaque	HMP
Supragingival.plaque__159450072	Supragingival plaque	159450072	Supragingival plaque	HMP
Throat__159450072	Throat	159450072	Throat	HMP
Tongue.dorsum__159450072	Tongue dorsum	159450072	Tongue dorsum	HMP
Anterior.nares__159470302	Anterior nares	159470302	Anterior nares	HMP
Attached.Keratinized.gingiva__159470302	Attached/Keratinized gingiva	159470302	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159470302	Buccal mucosa	159470302	Buccal mucosa	HMP
Hard.palate__159470302	Hard palate	159470302	Hard palate	HMP
L_Antecubital.fossa__159470302	L_Antecubital fossa	159470302	L_Antecubital fossa	HMP
Mid.vagina__159470302	Mid vagina	159470302	Mid vagina	HMP
Palatine.Tonsils__159470302	Palatine Tonsils	159470302	Palatine Tonsils	HMP
Posterior.fornix__159470302	Posterior fornix	159470302	Posterior fornix	HMP
R_Antecubital.fossa__159470302	R_Antecubital fossa	159470302	R_Antecubital fossa	HMP
Retroauricular.crease__159470302	Retroauricular crease	159470302	Retroauricular crease	HMP
Saliva__159470302	Saliva	159470302	Saliva	HMP
Stool__159470302	Stool	159470302	Stool	HMP
Subgingival.plaque__159470302	Subgingival plaque	159470302	Subgingival plaque	HMP
Supragingival.plaque__159470302	Supragingival plaque	159470302	Supragingival plaque	HMP
Throat__159470302	Throat	159470302	Throat	HMP
Tongue.dorsum__159470302	Tongue dorsum	159470302	Tongue dorsum	HMP
Vaginal.introitus__159470302	Vaginal introitus	159470302	Vaginal introitus	HMP
Anterior.nares__159490532	Anterior nares	159490532	Anterior nares	HMP
Attached.Keratinized.gingiva__159490532	Attached/Keratinized gingiva	159490532	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159490532	Buccal mucosa	159490532	Buccal mucosa	HMP
Hard.palate__159490532	Hard palate	159490532	Hard palate	HMP
L_Antecubital.fossa__159490532	L_Antecubital fossa	159490532	L_Antecubital fossa	HMP
Palatine.Tonsils__159490532	Palatine Tonsils	159490532	Palatine Tonsils	HMP
R_Antecubital.fossa__159490532	R_Antecubital fossa	159490532	R_Antecubital fossa	HMP
Retroauricular.crease__159490532	Retroauricular crease	159490532	Retroauricular crease	HMP
Saliva__159490532	Saliva	159490532	Saliva	HMP
Stool__159490532	Stool	159490532	Stool	HMP
Subgingival.plaque__159490532	Subgingival plaque	159490532	Subgingival plaque	HMP
Supragingival.plaque__159490532	Supragingival plaque	159490532	Supragingival plaque	HMP
Throat__159490532	Throat	159490532	Throat	HMP
Tongue.dorsum__159490532	Tongue dorsum	159490532	Tongue dorsum	HMP
Anterior.nares__159510762	Anterior nares	159510762	Anterior nares	HMP
Attached.Keratinized.gingiva__159510762	Attached/Keratinized gingiva	159510762	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159510762	Buccal mucosa	159510762	Buccal mucosa	HMP
Hard.palate__159510762	Hard palate	159510762	Hard palate	HMP
L_Antecubital.fossa__159510762	L_Antecubital fossa	159510762	L_Antecubital fossa	HMP
Palatine.Tonsils__159510762	Palatine Tonsils	159510762	Palatine Tonsils	HMP
R_Antecubital.fossa__159510762	R_Antecubital fossa	159510762	R_Antecubital fossa	HMP
Retroauricular.crease__159510762	Retroauricular crease	159510762	Retroauricular crease	HMP
Saliva__159510762	Saliva	159510762	Saliva	HMP
Stool__159510762	Stool	159510762	Stool	HMP
Subgingival.plaque__159510762	Subgingival plaque	159510762	Subgingival plaque	HMP
Supragingival.plaque__159510762	Supragingival plaque	159510762	Supragingival plaque	HMP
Throat__159510762	Throat	159510762	Throat	HMP
Tongue.dorsum__159510762	Tongue dorsum	159510762	Tongue dorsum	HMP
Anterior.nares__159551223	Anterior nares	159551223	Anterior nares	HMP
Attached.Keratinized.gingiva__159551223	Attached/Keratinized gingiva	159551223	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159551223	Buccal mucosa	159551223	Buccal mucosa	HMP
Hard.palate__159551223	Hard palate	159551223	Hard palate	HMP
L_Antecubital.fossa__159551223	L_Antecubital fossa	159551223	L_Antecubital fossa	HMP
Palatine.Tonsils__159551223	Palatine Tonsils	159551223	Palatine Tonsils	HMP
R_Antecubital.fossa__159551223	R_Antecubital fossa	159551223	R_Antecubital fossa	HMP
Retroauricular.crease__159551223	Retroauricular crease	159551223	Retroauricular crease	HMP
Saliva__159551223	Saliva	159551223	Saliva	HMP
Stool__159551223	Stool	159551223	Stool	HMP
Subgingival.plaque__159551223	Subgingival plaque	159551223	Subgingival plaque	HMP
Supragingival.plaque__159551223	Supragingival plaque	159551223	Supragingival plaque	HMP
Throat__159551223	Throat	159551223	Throat	HMP
Tongue.dorsum__159551223	Tongue dorsum	159551223	Tongue dorsum	HMP
Anterior.nares__159571453	Anterior nares	159571453	Anterior nares	HMP
Attached.Keratinized.gingiva__159571453	Attached/Keratinized gingiva	159571453	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159571453	Buccal mucosa	159571453	Buccal mucosa	HMP
Hard.palate__159571453	Hard palate	159571453	Hard palate	HMP
L_Antecubital.fossa__159571453	L_Antecubital fossa	159571453	L_Antecubital fossa	HMP
Palatine.Tonsils__159571453	Palatine Tonsils	159571453	Palatine Tonsils	HMP
R_Antecubital.fossa__159571453	R_Antecubital fossa	159571453	R_Antecubital fossa	HMP
Retroauricular.crease__159571453	Retroauricular crease	159571453	Retroauricular crease	HMP
Saliva__159571453	Saliva	159571453	Saliva	HMP
Stool__159571453	Stool	159571453	Stool	HMP
Subgingival.plaque__159571453	Subgingival plaque	159571453	Subgingival plaque	HMP
Supragingival.plaque__159571453	Supragingival plaque	159571453	Supragingival plaque	HMP
Throat__159571453	Throat	159571453	Throat	HMP
Tongue.dorsum__159571453	Tongue dorsum	159571453	Tongue dorsum	HMP
Anterior.nares__159591683	Anterior nares	159591683	Anterior nares	HMP
Attached.Keratinized.gingiva__159591683	Attached/Keratinized gingiva	159591683	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159591683	Buccal mucosa	159591683	Buccal mucosa	HMP
Hard.palate__159591683	Hard palate	159591683	Hard palate	HMP
L_Antecubital.fossa__159591683	L_Antecubital fossa	159591683	L_Antecubital fossa	HMP
Palatine.Tonsils__159591683	Palatine Tonsils	159591683	Palatine Tonsils	HMP
R_Antecubital.fossa__159591683	R_Antecubital fossa	159591683	R_Antecubital fossa	HMP
Retroauricular.crease__159591683	Retroauricular crease	159591683	Retroauricular crease	HMP
Saliva__159591683	Saliva	159591683	Saliva	HMP
Stool__159591683	Stool	159591683	Stool	HMP
Subgingival.plaque__159591683	Subgingival plaque	159591683	Subgingival plaque	HMP
Supragingival.plaque__159591683	Supragingival plaque	159591683	Supragingival plaque	HMP
Throat__159591683	Throat	159591683	Throat	HMP
Tongue.dorsum__159591683	Tongue dorsum	159591683	Tongue dorsum	HMP
Anterior.nares__159611913	Anterior nares	159611913	Anterior nares	HMP
Attached.Keratinized.gingiva__159611913	Attached/Keratinized gingiva	159611913	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159611913	Buccal mucosa	159611913	Buccal mucosa	HMP
Hard.palate__159611913	Hard palate	159611913	Hard palate	HMP
L_Antecubital.fossa__159611913	L_Antecubital fossa	159611913	L_Antecubital fossa	HMP
Palatine.Tonsils__159611913	Palatine Tonsils	159611913	Palatine Tonsils	HMP
R_Antecubital.fossa__159611913	R_Antecubital fossa	159611913	R_Antecubital fossa	HMP
Retroauricular.crease__159611913	Retroauricular crease	159611913	Retroauricular crease	HMP
Saliva__159611913	Saliva	159611913	Saliva	HMP
Stool__159611913	Stool	159611913	Stool	HMP
Subgingival.plaque__159611913	Subgingival plaque	159611913	Subgingival plaque	HMP
Supragingival.plaque__159611913	Supragingival plaque	159611913	Supragingival plaque	HMP
Throat__159611913	Throat	159611913	Throat	HMP
Tongue.dorsum__159611913	Tongue dorsum	159611913	Tongue dorsum	HMP
Anterior.nares__159632143	Anterior nares	159632143	Anterior nares	HMP
Attached.Keratinized.gingiva__159632143	Attached/Keratinized gingiva	159632143	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159632143	Buccal mucosa	159632143	Buccal mucosa	HMP
Hard.palate__159632143	Hard palate	159632143	Hard palate	HMP
L_Antecubital.fossa__159632143	L_Antecubital fossa	159632143	L_Antecubital fossa	HMP
Palatine.Tonsils__159632143	Palatine Tonsils	159632143	Palatine Tonsils	HMP
R_Antecubital.fossa__159632143	R_Antecubital fossa	159632143	R_Antecubital fossa	HMP
Retroauricular.crease__159632143	Retroauricular crease	159632143	Retroauricular crease	HMP
Saliva__159632143	Saliva	159632143	Saliva	HMP
Stool__159632143	Stool	159632143	Stool	HMP
Subgingival.plaque__159632143	Subgingival plaque	159632143	Subgingival plaque	HMP
Supragingival.plaque__159632143	Supragingival plaque	159632143	Supragingival plaque	HMP
Throat__159632143	Throat	159632143	Throat	HMP
Tongue.dorsum__159632143	Tongue dorsum	159632143	Tongue dorsum	HMP
Anterior.nares__159672603	Anterior nares	159672603	Anterior nares	HMP
Attached.Keratinized.gingiva__159672603	Attached/Keratinized gingiva	159672603	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159672603	Buccal mucosa	159672603	Buccal mucosa	HMP
Hard.palate__159672603	Hard palate	159672603	Hard palate	HMP
L_Antecubital.fossa__159672603	L_Antecubital fossa	159672603	L_Antecubital fossa	HMP
Palatine.Tonsils__159672603	Palatine Tonsils	159672603	Palatine Tonsils	HMP
R_Antecubital.fossa__159672603	R_Antecubital fossa	159672603	R_Antecubital fossa	HMP
Retroauricular.crease__159672603	Retroauricular crease	159672603	Retroauricular crease	HMP
Saliva__159672603	Saliva	159672603	Saliva	HMP
Stool__159672603	Stool	159672603	Stool	HMP
Subgingival.plaque__159672603	Subgingival plaque	159672603	Subgingival plaque	HMP
Supragingival.plaque__159672603	Supragingival plaque	159672603	Supragingival plaque	HMP
Throat__159672603	Throat	159672603	Throat	HMP
Tongue.dorsum__159672603	Tongue dorsum	159672603	Tongue dorsum	HMP
Anterior.nares__159713063	Anterior nares	159713063	Anterior nares	HMP
Attached.Keratinized.gingiva__159713063	Attached/Keratinized gingiva	159713063	Attached/Keratinized gingiva	HMP
Buccal.mucosa__159713063	Buccal mucosa	159713063	Buccal mucosa	HMP
